location,year,compound,concentration_ng_l,type,total_pfas_ng_l,reference,region,dataset
"Cape Fear River, NC, USA",2021,PFO4DA,1.74,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,Nafion Byproduct 1,0.1,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,Nafion Byproduct 2,0.38,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFPeA,12.0,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFOS,11.74,legacy,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFOA,7.43,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFDA,0.936,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFHxS,3.71,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2021,PFBA,4.86,,132.903,"Pétré, M.-A., Salk, K. R., Stapleton, H. M., Ferguson, P. L., Tait, G., Obenour, D. R., Knappe, D. R. U., & Genereux, D. P. (2022). Per- and polyfluoroalkyl substances (PFAS) in river discharge: Modeling loads upstream and downstream of a PFAS manufacturing plant in the Cape Fear watershed, North Carolina. Science of The Total Environment, 831, 154763. https://doi.org/10.1016/j.scitotenv.2022.154763",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFHxA,33.0,emerging,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFHpA,29.3,,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFPrOPrA,210.0,,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFPeA,39.0,,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFBA,22.33,legacy,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFOA,22.0,,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFHxS,11.33,,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2013,PFOS,31.33,,398.29,"Sun, M., Arevalo, E., Strynar, M., Lindstrom, A., Richardson, M., Kearns, B., Pickett, A., Smith, C., & Knappe, D. R. U. (2016). Legacy and emerging perfluoroalkyl substances are important drinking water contaminants in the Cape Fear River watershed of North Carolina. Environmental Science & Technology Letters, 3(12), 415-419. https://doi.org/10.1021/acs.estlett.6b00398",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFBS,2.58,emerging,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFHxA,7.38,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFHpA,38.7,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFNA,33.6,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFHxS,7.29,legacy,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFOS,31.2,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFOA,43.4,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFDA,22.1,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFUnDA,10.1,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Cape Fear River, NC, USA",2006,PFDoDA,2.17,,198.52,"Nakayama, S., Strynar, M. J., Helfant, L., Egeghy, P., Ye, X., & Lindstrom, A. B. (2007). Perfluorinated compounds in the Cape Fear drainage basin in North Carolina. Environmental Science & Technology, 41(15), 5271-5276. https://doi.org/10.1021/es070792y",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFHxA,3.2,emerging,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFHpA,1.4,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFNA,0.45,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFBS,24.41,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFECHS,0.4,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,HFPO-DA,0.08,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,ADONA,0.025,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFPeA,2.75,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFHpS,0.16,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,N-EtFOSAA,0.02,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFBA,4.0,legacy,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFOA,2.76,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFDA,0.235,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFHxS,2.17,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,PFOS,2.6,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2018,FOSA,0.12,,44.78,"Joerss, H., Schramm, T.-R., Sun, L., Guo, C., Tang, J., & Ebinghaus, R. (2020). Per- and polyfluoroalkyl substances in Chinese and German river water – Point source- and country-specific fingerprints including unknown precursors. Environmental Pollution, 267, 115567. https://doi.org/10.1016/j.envpol.2020.115567",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFHxA,2.94,emerging,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFHpA,1.22,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFNA,0.42,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFTeDA,0.01,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,HFPO-DA,0.99,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,HFDO-TA,0.16,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,ADONA,0.09,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFBS,21.9,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,4:2 FTSA,0.01,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,6:2 FTSA,2.87,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,8:2 FTSA,0.05,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,6:2 Cl- PFESA,0.08,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFPeA,2.58,,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
"Rhine river, Neitherland",2016,PFBA,4.31,legacy,47.14,"Pan, Y., Zhang, H., Cui, Q., Sheng, N., Yeung, L. W. Y., Sun, Y., Guo, Y., & Dai, J. (2018). Worldwide distribution of novel perfluoroether carboxylic and sulfonic acids in surface water. Environmental Science & Technology, 52(14), 7621-7629. https://doi.org/10.1021/acs.est.8b00829",Inland / Freshwater,inland
